size_group,tRNA_Group,n_with_ARG_data,MDR_n,MDR_percent,odds_ratio,fisher_p,fisher_p_bh
<100 kb,tRNA+,1249,23,1.8414731785428344,6.701788418871375,6.43827838106313e-36,6.43827838106313e-36
<100 kb,tRNA-,41429,4627,11.168505153394964,6.701788418871375,6.43827838106313e-36,6.43827838106313e-36
≥100 kb,tRNA+,2876,263,9.144645340751042,5.567317885261739,2.3586523135503486e-212,4.7173046271006973e-212
≥100 kb,tRNA-,16404,5891,35.911972689587905,5.567317885261739,2.3586523135503486e-212,4.7173046271006973e-212
