stratum,predicted_mobility,n_tRNA_positive,median_Total_tRNA,mean_Total_tRNA,kruskal_statistic,kruskal_p
<100 kb,conjugative,39,1.0,1.1538461538461537,142.6810389705316,1.0404136740225858e-31
<100 kb,mobilizable,137,1.0,2.0145985401459856,142.6810389705316,1.0404136740225858e-31
<100 kb,non-mobilizable,1073,3.0,3.7958993476234855,142.6810389705316,1.0404136740225858e-31
≥100 kb,conjugative,385,1.0,2.394805194805195,142.0835992847046,1.4026148442746537e-31
≥100 kb,mobilizable,426,1.0,2.9976525821596245,142.0835992847046,1.4026148442746537e-31
≥100 kb,non-mobilizable,2065,2.0,4.885230024213075,142.0835992847046,1.4026148442746537e-31
