run,seed,model,candidate_id,params,inner_train_n,validation_n,validation_AUPRC,validation_F1_threshold
1,42,LightGBM,17,"{""colsample_bytree"": 0.8265575731132729, ""learning_rate"": 0.02665737272808211, ""max_depth"": 16, ""min_child_samples"": 40, ""n_estimators"": 600, ""num_leaves"": 31, ""reg_alpha"": 0.21952644950547556, ""reg_lambda"": 0.7310144596665573, ""subsample"": 0.9585686041501768, ""subsample_freq"": 1}",39654,9914,0.8890240228191068,0.7435976256992088
1,42,LightGBM,18,"{""colsample_bytree"": 0.7180453705082909, ""learning_rate"": 0.08861685127236273, ""max_depth"": 16, ""min_child_samples"": 20, ""n_estimators"": 900, ""num_leaves"": 31, ""reg_alpha"": 0.01185929661414399, ""reg_lambda"": 0.14695700010867688, ""subsample"": 0.9442953573119227, ""subsample_freq"": 1}",39654,9914,0.9118919828913395,0.5922824209409328
1,42,LightGBM,19,"{""colsample_bytree"": 0.6449555736682886, ""learning_rate"": 0.05591581298080373, ""max_depth"": 16, ""min_child_samples"": 10, ""n_estimators"": 900, ""num_leaves"": 31, ""reg_alpha"": 0.0005980671066344246, ""reg_lambda"": 4.245007303114836, ""subsample"": 0.7015185372116542, ""subsample_freq"": 1}",39654,9914,0.9090117712680822,0.6665230169683524
1,42,LightGBM,20,"{""colsample_bytree"": 0.7831471931010854, ""learning_rate"": 0.0989520318640336, ""max_depth"": 16, ""min_child_samples"": 80, ""n_estimators"": 300, ""num_leaves"": 95, ""reg_alpha"": 0.07664658027598717, ""reg_lambda"": 0.0002827505935064655, ""subsample"": 0.7797491674206347, ""subsample_freq"": 1}",39654,9914,0.8954592670262481,0.5555616172620484
1,42,LightGBM,21,"{""colsample_bytree"": 0.8142912643545555, ""learning_rate"": 0.07096204447467079, ""max_depth"": 8, ""min_child_samples"": 10, ""n_estimators"": 600, ""num_leaves"": 95, ""reg_alpha"": 0.5152723911086199, ""reg_lambda"": 0.008316162185708898, ""subsample"": 0.7594342684006561, ""subsample_freq"": 1}",39654,9914,0.9060338394156752,0.6365262998031198
1,42,LightGBM,22,"{""colsample_bytree"": 0.6140676145518456, ""learning_rate"": 0.04701372154809941, ""max_depth"": 16, ""min_child_samples"": 80, ""n_estimators"": 600, ""num_leaves"": 127, ""reg_alpha"": 0.005434372068587421, ""reg_lambda"": 0.00012930359814973376, ""subsample"": 0.9127524151277336, ""subsample_freq"": 1}",39654,9914,0.9009961659834644,0.6903454350468411
1,42,LightGBM,23,"{""colsample_bytree"": 0.8134272644018461, ""learning_rate"": 0.010675880620565351, ""max_depth"": 16, ""min_child_samples"": 5, ""n_estimators"": 600, ""num_leaves"": 31, ""reg_alpha"": 0.014011111564286822, ""reg_lambda"": 7.587325162504404, ""subsample"": 0.8831474141340199, ""subsample_freq"": 1}",39654,9914,0.8621473273485144,0.7650638004886128
1,42,LightGBM,24,"{""colsample_bytree"": 0.6802756192028062, ""learning_rate"": 0.030259149453747244, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 1200, ""num_leaves"": 127, ""reg_alpha"": 0.0015530761558520565, ""reg_lambda"": 0.03574765518801957, ""subsample"": 0.9009696915050771, ""subsample_freq"": 1}",39654,9914,0.9110739696840666,0.676188375114758
1,42,LightGBM,25,"{""colsample_bytree"": 0.7966532873489343, ""learning_rate"": 0.031995950277053355, ""max_depth"": 8, ""min_child_samples"": 5, ""n_estimators"": 300, ""num_leaves"": 95, ""reg_alpha"": 0.00017140208257624166, ""reg_lambda"": 0.00045025970116821583, ""subsample"": 0.9530594518884395, ""subsample_freq"": 1}",39654,9914,0.8712649897593173,0.7077837027839717
1,42,LightGBM,26,"{""colsample_bytree"": 0.6944815964464213, ""learning_rate"": 0.06542542850126797, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 600, ""num_leaves"": 95, ""reg_alpha"": 0.0493577016816935, ""reg_lambda"": 0.04473154312700379, ""subsample"": 0.7812451040938106, ""subsample_freq"": 1}",39654,9914,0.9106635455929718,0.4413351235789278
1,42,LightGBM,27,"{""colsample_bytree"": 0.6411752063015078, ""learning_rate"": 0.0987898021986643, ""max_depth"": 8, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 95, ""reg_alpha"": 0.0005748398139786312, ""reg_lambda"": 2.164841371468366, ""subsample"": 0.9633611218823247, ""subsample_freq"": 1}",39654,9914,0.8911217809035931,0.7507302076241609
1,42,LightGBM,28,"{""colsample_bytree"": 0.934512188543299, ""learning_rate"": 0.025461138002558757, ""max_depth"": 16, ""min_child_samples"": 5, ""n_estimators"": 600, ""num_leaves"": 95, ""reg_alpha"": 0.00017139099406545384, ""reg_lambda"": 0.03340834082527189, ""subsample"": 0.8136152491248858, ""subsample_freq"": 1}",39654,9914,0.908418243716817,0.5631945781376951
1,42,LightGBM,29,"{""colsample_bytree"": 0.6162553771950553, ""learning_rate"": 0.016936159238825285, ""max_depth"": -1, ""min_child_samples"": 10, ""n_estimators"": 300, ""num_leaves"": 127, ""reg_alpha"": 0.003616047294811292, ""reg_lambda"": 9.640386758985267, ""subsample"": 0.7163787175444908, ""subsample_freq"": 1}",39654,9914,0.878195609437618,0.7672914306784224
1,42,LightGBM,30,"{""colsample_bytree"": 0.8823625205804679, ""learning_rate"": 0.01824641508676062, ""max_depth"": 16, ""min_child_samples"": 20, ""n_estimators"": 900, ""num_leaves"": 63, ""reg_alpha"": 0.00023105792126170495, ""reg_lambda"": 0.4779079163913828, ""subsample"": 0.7262082426239861, ""subsample_freq"": 1}",39654,9914,0.9060224776480648,0.6396987611067788
1,42,LightGBM,31,"{""colsample_bytree"": 0.8503899548756639, ""learning_rate"": 0.06524041424397427, ""max_depth"": 8, ""min_child_samples"": 40, ""n_estimators"": 1200, ""num_leaves"": 63, ""reg_alpha"": 0.06327610452669694, ""reg_lambda"": 0.0012689226329760251, ""subsample"": 0.8098383152568298, ""subsample_freq"": 1}",39654,9914,0.9080902272574556,0.7675087787504196
1,42,LightGBM,32,"{""colsample_bytree"": 0.9437749680738845, ""learning_rate"": 0.04812658387020237, ""max_depth"": 16, ""min_child_samples"": 5, ""n_estimators"": 1200, ""num_leaves"": 31, ""reg_alpha"": 0.05945203172631447, ""reg_lambda"": 0.06851252437607673, ""subsample"": 0.8973813346377468, ""subsample_freq"": 1}",39654,9914,0.9188442889287144,0.7228737900136813
1,42,LightGBM,33,"{""colsample_bytree"": 0.7316455820197424, ""learning_rate"": 0.03004288242635886, ""max_depth"": 12, ""min_child_samples"": 40, ""n_estimators"": 900, ""num_leaves"": 127, ""reg_alpha"": 0.011221309629001105, ""reg_lambda"": 1.525295781194225, ""subsample"": 0.7701399205335218, ""subsample_freq"": 1}",39654,9914,0.9022577527010336,0.6792694024150361
