Product_norm,Product,Code,COG_category,COG_super_category
endonuclease/exonuclease/phosphatase family protein,endonuclease/exonuclease/phosphatase family protein,AAAP,A,Information storage and processing
glycerophosphoryl diester phosphodiesterase membrane domain-containing protein,glycerophosphoryl diester phosphodiesterase membrane domain-containing protein,ABZZ,A,Information storage and processing
helicase-related protein,helicase-related protein,ACQE,A,Information storage and processing
hypothetical protein,hypothetical protein,ADFU,A,Information storage and processing
lipopolysaccharide assembly protein lapb,lipopolysaccharide assembly protein LapB,AEDR,A,Information storage and processing
oligoribonuclease,oligoribonuclease,AGIL,A,Information storage and processing
patatin-like phospholipase family protein,patatin-like phospholipase family protein,AGRS,A,Information storage and processing
ribonuclease yeef family protein,ribonuclease YeeF family protein,AKQJ,A,Information storage and processing
tetratricopeptide repeat protein,tetratricopeptide repeat protein,ANBE,A,Information storage and processing
atp-binding protein,ATP-binding protein,AOB,A,Information storage and processing
cd3337/ef1877 family mobilome membrane protein,CD3337/EF1877 family mobilome membrane protein,BIO,A,Information storage and processing
dead/deah box helicase,DEAD/DEAH box helicase,CGF,A,Information storage and processing
duf349 domain-containing protein,DUF349 domain-containing protein,EVY,A,Information storage and processing
doxx family protein,DoxX family protein,ILZ,A,Information storage and processing
gtp-binding protein,GTP-binding protein,JLM,A,Information storage and processing
mnmc family methyltransferase,MnmC family methyltransferase,OBB,A,Information storage and processing
mov34/mpn/pad-1 family protein,Mov34/MPN/PAD-1 family protein,OCT,A,Information storage and processing
nad(p)/fad-dependent oxidoreductase,NAD(P)/FAD-dependent oxidoreductase,OMC,A,Information storage and processing
pqq-binding-like beta-propeller repeat protein,PQQ-binding-like beta-propeller repeat protein,POY,A,Information storage and processing
rdd family protein,RDD family protein,QDQ,A,Information storage and processing
rna 3'-terminal phosphate cyclase,RNA 3'-terminal phosphate cyclase,QER,A,Information storage and processing
rna polymerase-binding protein dksa,RNA polymerase-binding protein DksA,QHJ,A,Information storage and processing
t7ss effector lxg polymorphic toxin,T7SS effector LXG polymorphic toxin,RRA,A,Information storage and processing
xkdf-like putative serine protease domain-containing protein,XkdF-like putative serine protease domain-containing protein,TBB,A,Information storage and processing
endonuclease,endonuclease,ZZX,A,Information storage and processing
histone deacetylase,histone deacetylase,ACYD,B,Information storage and processing
histone deacetylase family protein,histone deacetylase family protein,ACYE,B,Information storage and processing
hypothetical protein,hypothetical protein,ADFU,B,Information storage and processing
doxx family membrane protein,DoxX family membrane protein,ILX,B,Information storage and processing
s-layer homology domain-containing protein,S-layer homology domain-containing protein,QSF,B,Information storage and processing
sir2 family nad-dependent protein deacylase,SIR2 family NAD-dependent protein deacylase,QYF,B,Information storage and processing
swib/mdm2 domain-containing protein,SWIB/MDM2 domain-containing protein,RER,B,Information storage and processing
sir2 family nad-dependent protein deacetylase,Sir2 family NAD-dependent protein deacetylase,RKN,B,Information storage and processing
acetoin utilization protein acuc,acetoin utilization protein AcuC,UDM,B,Information storage and processing
acetylpolyamine amidohydrolase apha,acetylpolyamine amidohydrolase AphA,UFT,B,Information storage and processing
class ii histone deacetylase,class II histone deacetylase,YBV,B,Information storage and processing
elongator complex protein 3,elongator complex protein 3,ZZA,B,Information storage and processing
enediyne biosynthesis protein,enediyne biosynthesis protein,AABG,C,Metabolism
enediyne biosynthesis protein unbu,enediyne biosynthesis protein UnbU,AABH,C,Metabolism
enoyl-coa hydratase,enoyl-CoA hydratase,AACG,C,Metabolism
epoxyqueuosine reductase queh,epoxyqueuosine reductase QueH,AAEU,C,Metabolism
erythritol/l-threitol dehydrogenase,erythritol/L-threitol dehydrogenase,AAFH,C,Metabolism
ethanolamine utilization ethanol dehydrogenase eutg,ethanolamine utilization ethanol dehydrogenase EutG,AAGH,C,Metabolism
ethanolamine utilization microcompartment protein eutk,ethanolamine utilization microcompartment protein EutK,AAGI,C,Metabolism
ethanolamine utilization microcompartment protein eutm,ethanolamine utilization microcompartment protein EutM,AAGK,C,Metabolism
ethanolamine utilization microcompartment protein eutn,ethanolamine utilization microcompartment protein EutN,AAGL,C,Metabolism
ethylbenzene dehydrogenase-related protein,ethylbenzene dehydrogenase-related protein,AAGW,C,Metabolism
exo-alpha-sialidase,exo-alpha-sialidase,AAHS,C,Metabolism
exosortase a,exosortase A,AAJX,C,Metabolism
exosortase b,exosortase B,AAJY,C,Metabolism
fatty acid desaturase,fatty acid desaturase,AAQT,C,Metabolism
ferredoxin,ferredoxin,AARV,C,Metabolism
ferredoxin fdxa,ferredoxin FdxA,AARW,C,Metabolism
ferredoxin fdxc,ferredoxin FdxC,AARX,C,Metabolism
ferredoxin fer,ferredoxin Fer,AARY,C,Metabolism
"ferredoxin iii, nif-specific","ferredoxin III, nif-specific",AARZ,C,Metabolism
ferredoxin family 2fe-2s iron-sulfur cluster binding protein,ferredoxin family 2Fe-2S iron-sulfur cluster binding protein,AASB,C,Metabolism
ferredoxin family protein,ferredoxin family protein,AASC,C,Metabolism
ferredoxin reductase,ferredoxin reductase,AASD,C,Metabolism
ferredoxin--nad(+) reductase,ferredoxin--NAD(+) reductase,AASF,C,Metabolism
ferredoxin--nadp reductase,ferredoxin--NADP reductase,AASG,C,Metabolism
ferredoxin--nadp(+) reductase,ferredoxin--NADP(+) reductase,AASI,C,Metabolism
ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein yfae,ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE,AASL,C,Metabolism
ferredoxin-like protein,ferredoxin-like protein,AASM,C,Metabolism
ferredoxin-like protein fixx,ferredoxin-like protein FixX,AASN,C,Metabolism
ferredoxin-thioredoxin reductase catalytic domain-containing protein,ferredoxin-thioredoxin reductase catalytic domain-containing protein,AASO,C,Metabolism
ferredoxin-type protein napf,ferredoxin-type protein NapF,AASP,C,Metabolism
ferredoxin-type protein napg,ferredoxin-type protein NapG,AASQ,C,Metabolism
ferredoxin:protochlorophyllide reductase (atp-dependent) subunit b,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B,AASV,C,Metabolism
ferredoxin:protochlorophyllide reductase (atp-dependent) subunit n,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,AASW,C,Metabolism
ferric reductase-like transmembrane domain-containing protein,ferric reductase-like transmembrane domain-containing protein,AATJ,C,Metabolism
ferritin family protein,ferritin family protein,AATQ,C,Metabolism
flavin monoamine oxidase family protein,flavin monoamine oxidase family protein,ABDA,C,Metabolism
flavin reductase,flavin reductase,ABDC,C,Metabolism
flavin reductase family protein,flavin reductase family protein,ABDE,C,Metabolism
flavin-containing monooxygenase,flavin-containing monooxygenase,ABDF,C,Metabolism
flavin-dependent monooxygenase qhpg,flavin-dependent monooxygenase QhpG,ABDH,C,Metabolism
flavin-dependent oxidoreductase,flavin-dependent oxidoreductase,ABDI,C,Metabolism
flavin-dependent trigonelline monooxygenase oxygenase component,flavin-dependent trigonelline monooxygenase oxygenase component,ABDJ,C,Metabolism
flavocytochrome c,flavocytochrome c,ABDM,C,Metabolism
flavodoxin,flavodoxin,ABDN,C,Metabolism
flavodoxin flda,flavodoxin FldA,ABDO,C,Metabolism
flavodoxin fldb,flavodoxin FldB,ABDP,C,Metabolism
flavodoxin domain-containing protein,flavodoxin domain-containing protein,ABDQ,C,Metabolism
flavodoxin family protein,flavodoxin family protein,ABDR,C,Metabolism
flavoprotein,flavoprotein,ABDX,C,Metabolism
"formaldehyde dehydrogenase, glutathione-independent","formaldehyde dehydrogenase, glutathione-independent",ABFF,C,Metabolism
formamidase,formamidase,ABFI,C,Metabolism
formate c-acetyltransferase,formate C-acetyltransferase,ABFJ,C,Metabolism
formate c-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,ABFK,C,Metabolism
formate dehydrogenase,formate dehydrogenase,ABFL,C,Metabolism
formate dehydrogenase fdh3 subunit beta,formate dehydrogenase FDH3 subunit beta,ABFM,C,Metabolism
"formate dehydrogenase h subunit alpha, selenocysteine-containing","formate dehydrogenase H subunit alpha, selenocysteine-containing",ABFN,C,Metabolism
"formate dehydrogenase n subunit alpha, selenocysteine-containing","formate dehydrogenase N subunit alpha, selenocysteine-containing",ABFO,C,Metabolism
formate dehydrogenase n subunit beta,formate dehydrogenase N subunit beta,ABFP,C,Metabolism
formate dehydrogenase o subunit beta,formate dehydrogenase O subunit beta,ABFR,C,Metabolism
formate dehydrogenase accessory sulfurtransferase fdhd,formate dehydrogenase accessory sulfurtransferase FdhD,ABFT,C,Metabolism
formate dehydrogenase beta subunit,formate dehydrogenase beta subunit,ABFU,C,Metabolism
formate dehydrogenase cytochrome b556 subunit,formate dehydrogenase cytochrome b556 subunit,ABFV,C,Metabolism
formate dehydrogenase subunit alpha,formate dehydrogenase subunit alpha,ABFW,C,Metabolism
formate dehydrogenase subunit beta,formate dehydrogenase subunit beta,ABFX,C,Metabolism
formate dehydrogenase subunit delta,formate dehydrogenase subunit delta,ABFY,C,Metabolism
formate dehydrogenase subunit gamma,formate dehydrogenase subunit gamma,ABFZ,C,Metabolism
formate dehydrogenase-n subunit alpha,formate dehydrogenase-N subunit alpha,ABGA,C,Metabolism
formate dehydrogenase-n subunit gamma,formate dehydrogenase-N subunit gamma,ABGB,C,Metabolism
formate hydrogenlyase,formate hydrogenlyase,ABGC,C,Metabolism
formate hydrogenlyase complex iron-sulfur subunit,formate hydrogenlyase complex iron-sulfur subunit,ABGE,C,Metabolism
formate hydrogenlyase subunit 3,formate hydrogenlyase subunit 3,ABGH,C,Metabolism
formate hydrogenlyase subunit hycb,formate hydrogenlyase subunit HycB,ABGI,C,Metabolism
formate hydrogenlyase subunit hycd,formate hydrogenlyase subunit HycD,ABGJ,C,Metabolism
formate hydrogenlyase subunit hyce,formate hydrogenlyase subunit HycE,ABGK,C,Metabolism
formate hydrogenlyase subunit hycf,formate hydrogenlyase subunit HycF,ABGL,C,Metabolism
formate hydrogenlyase subunit hycg,formate hydrogenlyase subunit HycG,ABGM,C,Metabolism
formate-dependent uric acid utilization protein aega,formate-dependent uric acid utilization protein AegA,ABGV,C,Metabolism
formate-dependent uric acid utilization protein ygft,formate-dependent uric acid utilization protein YgfT,ABGW,C,Metabolism
formyl-coa transferase,formyl-CoA transferase,ABHC,C,Metabolism
formylmethanofuran dehydrogenase,formylmethanofuran dehydrogenase,ABHE,C,Metabolism
formylmethanofuran dehydrogenase subunit a,formylmethanofuran dehydrogenase subunit A,ABHF,C,Metabolism
formylmethanofuran dehydrogenase subunit b,formylmethanofuran dehydrogenase subunit B,ABHG,C,Metabolism
formylmethanofuran dehydrogenase subunit c,formylmethanofuran dehydrogenase subunit C,ABHH,C,Metabolism
formylmethanofuran--tetrahydromethanopterin n-formyltransferase,formylmethanofuran--tetrahydromethanopterin N-formyltransferase,ABHJ,C,Metabolism
four-helix bundle copper-binding protein,four-helix bundle copper-binding protein,ABII,C,Metabolism
fructuronate reductase,fructuronate reductase,ABJM,C,Metabolism
fumarate hydratase,fumarate hydratase,ABJT,C,Metabolism
fumarate hydratase c-terminal domain-containing protein,fumarate hydratase C-terminal domain-containing protein,ABJU,C,Metabolism
fumarate reductase,fumarate reductase,ABJW,C,Metabolism
fumarate reductase (quinol) flavoprotein subunit,fumarate reductase (quinol) flavoprotein subunit,ABJX,C,Metabolism
fumarate reductase cytochrome b subunit,fumarate reductase cytochrome b subunit,ABJY,C,Metabolism
fumarate reductase flavoprotein subunit,fumarate reductase flavoprotein subunit,ABJZ,C,Metabolism
fumarate reductase iron-sulfur protein,fumarate reductase iron-sulfur protein,ABKA,C,Metabolism
fumarate reductase iron-sulfur subunit,fumarate reductase iron-sulfur subunit,ABKB,C,Metabolism
fumarate reductase subunit frdc,fumarate reductase subunit FrdC,ABKD,C,Metabolism
fumarate reductase subunit frdd,fumarate reductase subunit FrdD,ABKE,C,Metabolism
fumarate reductase/succinate dehydrogenase flavoprotein subunit,fumarate reductase/succinate dehydrogenase flavoprotein subunit,ABKF,C,Metabolism
galactitol-1-phosphate 5-dehydrogenase,galactitol-1-phosphate 5-dehydrogenase,ABLJ,C,Metabolism
galactose-1-phosphate uridylyltransferase,galactose-1-phosphate uridylyltransferase,ABMB,C,Metabolism
gamma carbonic anhydrase family protein,gamma carbonic anhydrase family protein,ABMT,C,Metabolism
gamma-aminobutyraldehyde dehydrogenase,gamma-aminobutyraldehyde dehydrogenase,ABMZ,C,Metabolism
gamma-glutamylcyclotransferase family protein,gamma-glutamylcyclotransferase family protein,ABNJ,C,Metabolism
geranylgeranyl diphosphate reductase,geranylgeranyl diphosphate reductase,ABPJ,C,Metabolism
geranylgeranyl reductase family protein,geranylgeranyl reductase family protein,ABPL,C,Metabolism
gfo/idh/moca family oxidoreductase,gfo/Idh/MocA family oxidoreductase,ABPR,C,Metabolism
gliding motility-associated c-terminal domain-containing protein,gliding motility-associated C-terminal domain-containing protein,ABPY,C,Metabolism
globin,globin,ABQE,C,Metabolism
globin domain-containing protein,globin domain-containing protein,ABQF,C,Metabolism
globin family protein,globin family protein,ABQG,C,Metabolism
gluconate 2-dehydrogenase subunit 3 family protein,gluconate 2-dehydrogenase subunit 3 family protein,ABRB,C,Metabolism
glucose uptake inhibitor sgrt,glucose uptake inhibitor SgrT,ABSE,C,Metabolism
glucose-6-phosphate dehydrogenase (coenzyme-f420),glucose-6-phosphate dehydrogenase (coenzyme-F420),ABSR,C,Metabolism
glutamate dehydrogenase gdhb,glutamate dehydrogenase GdhB,ABUF,C,Metabolism
glutamate synthase small subunit,glutamate synthase small subunit,ABUN,C,Metabolism
glutamate synthase subunit gltd,glutamate synthase subunit GltD,ABUO,C,Metabolism
glutamate synthase subunit beta,glutamate synthase subunit beta,ABUQ,C,Metabolism
glutamate synthase-related protein,glutamate synthase-related protein,ABUR,C,Metabolism
glutamate/aspartate:proton symporter gltp,glutamate/aspartate:proton symporter GltP,ABVI,C,Metabolism
glutarate dioxygenase glah,glutarate dioxygenase GlaH,ABWZ,C,Metabolism
glutaredoxin,glutaredoxin,ABXA,C,Metabolism
glutaredoxin family protein,glutaredoxin family protein,ABXF,C,Metabolism
glutaredoxin-dependent arsenate reductase,glutaredoxin-dependent arsenate reductase,ABXG,C,Metabolism
glutaredoxin-like protein nrdh,glutaredoxin-like protein NrdH,ABXH,C,Metabolism
glutathione peroxidase,glutathione peroxidase,ABXU,C,Metabolism
glutathione-disulfide reductase,glutathione-disulfide reductase,ABYG,C,Metabolism
glutathione-independent formaldehyde dehydrogenase,glutathione-independent formaldehyde dehydrogenase,ABYH,C,Metabolism
glutathione-regulated potassium-efflux system ancillary protein kefg,glutathione-regulated potassium-efflux system ancillary protein KefG,ABYJ,C,Metabolism
glutathione-regulated potassium-efflux system oxidoreductase keff,glutathione-regulated potassium-efflux system oxidoreductase KefF,ABYK,C,Metabolism
glyceraldehyde-3-phosphate dehydrogenase,glyceraldehyde-3-phosphate dehydrogenase,ABYT,C,Metabolism
glycerate kinase,glycerate kinase,ABYW,C,Metabolism
glycerate kinase type-2 family protein,glycerate kinase type-2 family protein,ABYY,C,Metabolism
glycerol dehydrogenase,glycerol dehydrogenase,ABZD,C,Metabolism
glycerol kinase,glycerol kinase,ABZF,C,Metabolism
glycerol kinase glpk,glycerol kinase GlpK,ABZG,C,Metabolism
glycerol-3-phosphate dehydrogenase,glycerol-3-phosphate dehydrogenase,ABZO,C,Metabolism
glycerol-3-phosphate dehydrogenase subunit glpb,glycerol-3-phosphate dehydrogenase subunit GlpB,ABZR,C,Metabolism
glycerol-3-phosphate dehydrogenase/oxidase,glycerol-3-phosphate dehydrogenase/oxidase,ABZS,C,Metabolism
glycerophosphodiester phosphodiesterase,glycerophosphodiester phosphodiesterase,ABZW,C,Metabolism
glycerophosphodiester phosphodiesterase family protein,glycerophosphodiester phosphodiesterase family protein,ABZX,C,Metabolism
glycerophosphoryl diester phosphodiesterase,glycerophosphoryl diester phosphodiesterase,ABZY,C,Metabolism
glycerophosphoryl diester phosphodiesterase membrane domain-containing protein,glycerophosphoryl diester phosphodiesterase membrane domain-containing protein,ABZZ,C,Metabolism
6-n-hydroxylaminopurine resistance protein ycbx,6-N-hydroxylaminopurine resistance protein YcbX,ACA,C,Metabolism
glycine oxidase thio,glycine oxidase ThiO,ACBE,C,Metabolism
glycine/sarcosine/betaine reductase complex selenoprotein a,glycine/sarcosine/betaine reductase complex selenoprotein A,ACCB,C,Metabolism
glycine/sarcosine/betaine reductase component b subunit,glycine/sarcosine/betaine reductase component B subunit,ACCC,C,Metabolism
glycolate oxidase subunit glcd,glycolate oxidase subunit GlcD,ACCZ,C,Metabolism
glycolate oxidase subunit glce,glycolate oxidase subunit GlcE,ACDA,C,Metabolism
glycolate oxidase subunit glcf,glycolate oxidase subunit GlcF,ACDB,C,Metabolism
glycosyl transferase,glycosyl transferase,ACIC,C,Metabolism
glycosyltransferase,glycosyltransferase,ACIR,C,Metabolism
glycyl radical protein,glycyl radical protein,ACJZ,C,Metabolism
glycyl-radical enzyme activating protein,glycyl-radical enzyme activating protein,ACKA,C,Metabolism
glyoxylate/hydroxypyruvate reductase ghra,glyoxylate/hydroxypyruvate reductase GhrA,ACKO,C,Metabolism
glyoxylate/hydroxypyruvate reductase ghrb,glyoxylate/hydroxypyruvate reductase GhrB,ACKP,C,Metabolism
6-hydroxyaminopurine reductase,6-hydroxyaminopurine reductase,ACL,C,Metabolism
group 1 truncated hemoglobin,group 1 truncated hemoglobin,ACLF,C,Metabolism
halocyanin,halocyanin,ACND,C,Metabolism
halocyanin domain-containing protein,halocyanin domain-containing protein,ACNE,C,Metabolism
heavy metal-associated domain-containing protein,heavy metal-associated domain-containing protein,ACPF,C,Metabolism
heavy metal-binding domain-containing protein,heavy metal-binding domain-containing protein,ACPG,C,Metabolism
heavy-metal-associated domain-containing protein,heavy-metal-associated domain-containing protein,ACPJ,C,Metabolism
helicase hera-like domain-containing protein,helicase HerA-like domain-containing protein,ACPR,C,Metabolism
helix-hairpin-helix domain-containing protein,helix-hairpin-helix domain-containing protein,ACQI,C,Metabolism
helix-turn-helix transcriptional regulator,helix-turn-helix transcriptional regulator,ACQN,C,Metabolism
heme acquisition protein hasa,heme acquisition protein HasA,ACRO,C,Metabolism
heme d1 biosynthesis radical sam protein nirj,heme d1 biosynthesis radical SAM protein NirJ,ACRT,C,Metabolism
heme oxygenase isdg,heme oxygenase IsdG,ACSF,C,Metabolism
heme-binding protein,heme-binding protein,ACSS,C,Metabolism
heme-copper oxidase subunit iii,heme-copper oxidase subunit III,ACSU,C,Metabolism
heme-copper oxidase subunit iii family protein,heme-copper oxidase subunit III family protein,ACSV,C,Metabolism
hemerythrin domain-containing protein,hemerythrin domain-containing protein,ACTE,C,Metabolism
heterodisulfide reductase-related iron-sulfur binding cluster,heterodisulfide reductase-related iron-sulfur binding cluster,ACVC,C,Metabolism
high-potential iron-sulfur protein,high-potential iron-sulfur protein,ACWE,C,Metabolism
"homogentisate 1,2-dioxygenase","homogentisate 1,2-dioxygenase",ACZL,C,Metabolism
homoserine dehydrogenase,homoserine dehydrogenase,ACZW,C,Metabolism
hopanoid biosynthesis associated radical sam protein hpnj,hopanoid biosynthesis associated radical SAM protein HpnJ,ADAD,C,Metabolism
hybrid-cluster nad(p)-dependent oxidoreductase,hybrid-cluster NAD(P)-dependent oxidoreductase,ADBO,C,Metabolism
hydratase,hydratase,ADBU,C,Metabolism
hydrogen gas-evolving membrane-bound hydrogenase subunit e,hydrogen gas-evolving membrane-bound hydrogenase subunit E,ADBV,C,Metabolism
hydrogen peroxide-dependent heme synthase,hydrogen peroxide-dependent heme synthase,ADBX,C,Metabolism
hydrogenase,hydrogenase,ADCA,C,Metabolism
hydrogenase 1 maturation protease,hydrogenase 1 maturation protease,ADCC,C,Metabolism
hydrogenase 1 small subunit,hydrogenase 1 small subunit,ADCD,C,Metabolism
hydrogenase 2 large subunit,hydrogenase 2 large subunit,ADCE,C,Metabolism
hydrogenase 2 operon protein hyba,hydrogenase 2 operon protein HybA,ADCF,C,Metabolism
hydrogenase 2 small subunit,hydrogenase 2 small subunit,ADCG,C,Metabolism
hydrogenase 4 catalytic subunit hyfg,hydrogenase 4 catalytic subunit HyfG,ADCJ,C,Metabolism
hydrogenase 4 catalytic subunit hyfi,hydrogenase 4 catalytic subunit HyfI,ADCK,C,Metabolism
hydrogenase 4 membrane subunit,hydrogenase 4 membrane subunit,ADCL,C,Metabolism
hydrogenase 4 subunit b,hydrogenase 4 subunit B,ADCM,C,Metabolism
hydrogenase 4 subunit d,hydrogenase 4 subunit D,ADCN,C,Metabolism
hydrogenase 4 subunit f,hydrogenase 4 subunit F,ADCO,C,Metabolism
hydrogenase 4 subunit h,hydrogenase 4 subunit H,ADCP,C,Metabolism
hydrogenase 4 subunit hyfa,hydrogenase 4 subunit HyfA,ADCQ,C,Metabolism
hydrogenase 4 subunit hyfc,hydrogenase 4 subunit HyfC,ADCR,C,Metabolism
hydrogenase 4 subunit hyfd,hydrogenase 4 subunit HyfD,ADCS,C,Metabolism
hydrogenase accessory protein,hydrogenase accessory protein,ADCT,C,Metabolism
hydrogenase assembly protein hupf,hydrogenase assembly protein HupF,ADCU,C,Metabolism
hydrogenase expression protein hype,hydrogenase expression protein HypE,ADCX,C,Metabolism
hydrogenase expression/formation c-terminal domain-containing protein,hydrogenase expression/formation C-terminal domain-containing protein,ADCZ,C,Metabolism
hydrogenase expression/formation protein,hydrogenase expression/formation protein,ADDA,C,Metabolism
hydrogenase expression/formation protein hoxo,hydrogenase expression/formation protein HoxO,ADDB,C,Metabolism
hydrogenase expression/formation protein hoxv,hydrogenase expression/formation protein HoxV,ADDC,C,Metabolism
hydrogenase iron-sulfur subunit,hydrogenase iron-sulfur subunit,ADDH,C,Metabolism
hydrogenase maturation nickel metallochaperone hypa,hydrogenase maturation nickel metallochaperone HypA,ADDK,C,Metabolism
hydrogenase maturation peptidase hyci,hydrogenase maturation peptidase HycI,ADDL,C,Metabolism
hydrogenase maturation protease,hydrogenase maturation protease,ADDM,C,Metabolism
hydrogenase small subunit,hydrogenase small subunit,ADDQ,C,Metabolism
hydrogenase-2 assembly chaperone,hydrogenase-2 assembly chaperone,ADDU,C,Metabolism
hydrogenase-4 component e,hydrogenase-4 component E,ADDV,C,Metabolism
hydroxyacid dehydrogenase,hydroxyacid dehydrogenase,ADEJ,C,Metabolism
hydroxyacid-oxoacid transhydrogenase,hydroxyacid-oxoacid transhydrogenase,ADEK,C,Metabolism
hydroxycarboxylate dehydrogenase hcxb,hydroxycarboxylate dehydrogenase HcXB,ADEN,C,Metabolism
hydroxycarboxylate dehydrogenase hcxa,hydroxycarboxylate dehydrogenase HcxA,ADEO,C,Metabolism
hydroxylamine reductase,hydroxylamine reductase,ADET,C,Metabolism
hydroxymethylglutaryl-coa lyase,hydroxymethylglutaryl-CoA lyase,ADEX,C,Metabolism
"hydroxymethylglutaryl-coa reductase, degradative","hydroxymethylglutaryl-CoA reductase, degradative",ADFA,C,Metabolism
hypothetical protein,hypothetical protein,ADFU,C,Metabolism
indolepyruvate ferredoxin oxidoreductase family protein,indolepyruvate ferredoxin oxidoreductase family protein,ADIP,C,Metabolism
indolepyruvate ferredoxin oxidoreductase subunit alpha,indolepyruvate ferredoxin oxidoreductase subunit alpha,ADIQ,C,Metabolism
indolepyruvate oxidoreductase subunit beta,indolepyruvate oxidoreductase subunit beta,ADIR,C,Metabolism
indolepyruvate oxidoreductase subunit beta family protein,indolepyruvate oxidoreductase subunit beta family protein,ADIS,C,Metabolism
inorganic diphosphatase,inorganic diphosphatase,ADKY,C,Metabolism
inositol 2-dehydrogenase,inositol 2-dehydrogenase,ADLI,C,Metabolism
iron hydrogenase small subunit,iron hydrogenase small subunit,ADPU,C,Metabolism
iron uptake transporter deferrochelatase/peroxidase subunit,iron uptake transporter deferrochelatase/peroxidase subunit,ADQD,C,Metabolism
iron-containing alcohol dehydrogenase,iron-containing alcohol dehydrogenase,ADQF,C,Metabolism
iron-containing alcohol dehydrogenase psra,iron-containing alcohol dehydrogenase PsrA,ADQG,C,Metabolism
iron-containing alcohol dehydrogenase family protein,iron-containing alcohol dehydrogenase family protein,ADQH,C,Metabolism
iron-dependent methanol dehydrogenase,iron-dependent methanol dehydrogenase,ADQK,C,Metabolism
iron-sulfur cluster assembly accessory protein,iron-sulfur cluster assembly accessory protein,ADQV,C,Metabolism
iron-sulfur cluster assembly protein isca,iron-sulfur cluster assembly protein IscA,ADQX,C,Metabolism
iron-sulfur cluster assembly scaffold protein,iron-sulfur cluster assembly scaffold protein,ADQY,C,Metabolism
iron-sulfur cluster assembly scaffold protein nifu,iron-sulfur cluster assembly scaffold protein NifU,ADQZ,C,Metabolism
iron-sulfur cluster insertion protein erpa,iron-sulfur cluster insertion protein ErpA,ADRD,C,Metabolism
iron-sulfur cluster repair di-iron protein,iron-sulfur cluster repair di-iron protein,ADRE,C,Metabolism
iron-sulfur cluster repair protein dnrn,iron-sulfur cluster repair protein DnrN,ADRH,C,Metabolism
iron-sulfur cluster repair protein ytfe,iron-sulfur cluster repair protein YtfE,ADRI,C,Metabolism
iron-sulfur cluster-binding domain-containing protein,iron-sulfur cluster-binding domain-containing protein,ADRJ,C,Metabolism
isocitrate dehydrogenase,isocitrate dehydrogenase,ADSH,C,Metabolism
isocitrate dehydrogenase (nadp(+)),isocitrate dehydrogenase (NADP(+)),ADSI,C,Metabolism
isocitrate lyase,isocitrate lyase,ADSJ,C,Metabolism
isocitrate/isopropylmalate dehydrogenase family protein,isocitrate/isopropylmalate dehydrogenase family protein,ADSM,C,Metabolism
isocitrate/isopropylmalate family dehydrogenase,isocitrate/isopropylmalate family dehydrogenase,ADSN,C,Metabolism
isopenicillin n synthase family dioxygenase,isopenicillin N synthase family dioxygenase,ADSQ,C,Metabolism
isopenicillin n synthase family oxygenase,isopenicillin N synthase family oxygenase,ADSR,C,Metabolism
isovaleryl-coa dehydrogenase,isovaleryl-CoA dehydrogenase,ADTF,C,Metabolism
itaconate coa-transferase ripa/ict,itaconate CoA-transferase RipA/Ict,ADTG,C,Metabolism
lactaldehyde reductase,lactaldehyde reductase,ADVM,C,Metabolism
lactate 2-monooxygenase,lactate 2-monooxygenase,ADVN,C,Metabolism
lactate dehydrogenase,lactate dehydrogenase,ADVO,C,Metabolism
lactate oxidase,lactate oxidase,ADVP,C,Metabolism
lactate permease lctp family transporter,lactate permease LctP family transporter,ADVQ,C,Metabolism
lactate racemase domain-containing protein,lactate racemase domain-containing protein,ADVR,C,Metabolism
lactate utilization protein,lactate utilization protein,ADVV,C,Metabolism
lactate utilization protein b,lactate utilization protein B,ADVW,C,Metabolism
lactate/malate family dehydrogenase,lactate/malate family dehydrogenase,ADVZ,C,Metabolism
lactoylglutathione lyase family protein,lactoylglutathione lyase family protein,ADWQ,C,Metabolism
lantibiotic dehydratase c-terminal domain-containing protein,lantibiotic dehydratase C-terminal domain-containing protein,ADXG,C,Metabolism
"light-harvesting antenna lh1, alpha subunit","light-harvesting antenna LH1, alpha subunit",AEAF,C,Metabolism
"light-harvesting antenna lh1, beta subunit","light-harvesting antenna LH1, beta subunit",AEAG,C,Metabolism
lipid ii-degrading bacteriocin,lipid II-degrading bacteriocin,AECA,C,Metabolism
lipid ii-degrading bacteriocin colicin m,lipid II-degrading bacteriocin colicin M,AECC,C,Metabolism
lipoprotein,lipoprotein,AEEM,C,Metabolism
lipoyl domain-containing protein,lipoyl domain-containing protein,AEFZ,C,Metabolism
luciferase-like monooxygenase,luciferase-like monooxygenase,AEHT,C,Metabolism
lyase family protein,lyase family protein,AEHX,C,Metabolism
lycopene beta-cyclase crty,lycopene beta-cyclase CrtY,AEHY,C,Metabolism
lycopene cyclase family protein,lycopene cyclase family protein,AEIA,C,Metabolism
