model,task,run_n,AUPRC_mean,AUPRC_SD,AUROC_mean,AUROC_SD,F1_mean,F1_SD,R2_mean,R2_SD,RMSE_mean,RMSE_SD,Spearman_rho_mean,Spearman_rho_SD
1-NN,classification,3,0.61580811054804,0.005478593411476647,0.8951381030219204,0.00539054082848196,0.7759134926002124,0.003717216499899232,,,,,,
1-NN,regression_tRNA_positive_only,3,,,,,,,0.263314519872827,0.09291748829123998,7.733839928261427,0.7542232251241425,0.7634212431306722,0.03928809531575455
5-NN,classification,3,0.7586734233167478,0.007349416631491476,0.9371980699107256,0.004628593666716594,0.738595851152997,0.009055288779766909,,,,,,
5-NN,regression_tRNA_positive_only,3,,,,,,,0.3232206994132543,0.1110820428315767,7.387637685869123,0.49052434546049634,0.7087822393908727,0.012929117480142839
