analysis,target,condition,run,seed,train_n,test_n,positive_rate_test,AUPRC,AUROC,R2,RMSE,MAE,module,subcategory
cde_module,Replication,all_non_target_features,1,42,49568,12393,0.8347454208020657,0.9921174608754548,0.9625161895088206,0.9111832083139051,0.9569013447685077,0.5952368864058022,Replication,
cde_module,Replication,all_non_target_features,2,43,49568,12393,0.8347454208020657,0.9917297787174426,0.9610659068768123,0.9059537595922627,0.9568225295267152,0.5883906655561291,Replication,
cde_module,Replication,all_non_target_features,3,44,49568,12393,0.8347454208020657,0.9916685674201382,0.9600014348719187,0.9001445826656587,0.9863948594495576,0.6061205489971682,Replication,
cde_module,Replication,non_cde_background,1,42,49568,12393,0.8347454208020657,0.9917053533694501,0.9607467422743476,0.9100706524435603,0.9628759638854818,0.5976247486011883,Replication,
cde_module,Replication,non_cde_background,2,43,49568,12393,0.8347454208020657,0.9914422978500148,0.9598680956228856,0.907336381225357,0.9497631200354016,0.5899350396887977,Replication,
cde_module,Replication,non_cde_background,3,44,49568,12393,0.8347454208020657,0.991428242719947,0.9588989906808845,0.9022928986285165,0.9757263859026787,0.6072799800518613,Replication,
cde_module,Replication,other_cde_modules_only,1,42,49568,12393,0.8347454208020657,0.9400121626211766,0.7847163012777912,0.5989888402676906,2.0332831129065214,1.3561905085395467,Replication,
cde_module,Replication,other_cde_modules_only,2,43,49568,12393,0.8347454208020657,0.9386277719701469,0.7816605432878201,0.6083684939056615,1.9525379545874895,1.3211171878789618,Replication,
cde_module,Replication,other_cde_modules_only,3,44,49568,12393,0.8347454208020657,0.9394423371380588,0.7845237027625058,0.5988658706916273,1.977014214479606,1.3274253058045453,Replication,
cde_module,Transcription,all_non_target_features,1,42,49568,12393,0.5842007584926975,0.98788433710595,0.9822132389757401,0.9728002741556951,1.9044503630195326,0.6996501233828265,Transcription,
cde_module,Transcription,all_non_target_features,2,43,49568,12393,0.5842007584926975,0.9884157774471702,0.982293919328225,0.9787807223944275,1.8151876335100334,0.6914995784956385,Transcription,
cde_module,Transcription,all_non_target_features,3,44,49568,12393,0.5842007584926975,0.9880498651664573,0.982154417369917,0.9768906205978348,1.837874697219205,0.7100333053868111,Transcription,
cde_module,Transcription,non_cde_background,1,42,49568,12393,0.5842007584926975,0.9869634085073091,0.9807699049955344,0.9716650735912208,1.9437859516819713,0.7075150590528975,Transcription,
cde_module,Transcription,non_cde_background,2,43,49568,12393,0.5842007584926975,0.9872512332535976,0.9804587629584439,0.9785435577410365,1.8253034849059375,0.7008610381959203,Transcription,
cde_module,Transcription,non_cde_background,3,44,49568,12393,0.5842007584926975,0.9873996048629132,0.9811707335639914,0.9772420897539299,1.8238450863057059,0.708894854836509,Transcription,
cde_module,Transcription,other_cde_modules_only,1,42,49568,12393,0.5842007584926975,0.9349839605767547,0.9092684838419501,0.7802895887802828,5.412684496748632,2.0363051665341962,Transcription,
cde_module,Transcription,other_cde_modules_only,2,43,49568,12393,0.5842007584926975,0.9394625518094742,0.9147453529725216,0.8141811529884639,5.371568363514874,2.0207545790349384,Transcription,
cde_module,Transcription,other_cde_modules_only,3,44,49568,12393,0.5842007584926975,0.938936221986977,0.9153407123244197,0.7884553377293928,5.560614567680033,2.097107149955615,Transcription,
cde_module,Translation,all_non_target_features,1,42,49568,12393,0.13596385056080046,0.9253259160583301,0.9744558548532448,0.94100247645495,1.3256777149749637,0.23873309280081362,Translation,
cde_module,Translation,all_non_target_features,2,43,49568,12393,0.13596385056080046,0.9185940076774756,0.9714970309782531,0.9370310319616133,1.3462903083726254,0.24453094488104338,Translation,
cde_module,Translation,all_non_target_features,3,44,49568,12393,0.13596385056080046,0.9203752132480568,0.9757404818937891,0.9237405523254768,1.3131578348946198,0.2591352087858658,Translation,
cde_module,Translation,non_cde_background,1,42,49568,12393,0.13596385056080046,0.9222227164990024,0.9731556538886591,0.9418411343806209,1.3162216441740002,0.24057749958498495,Translation,
cde_module,Translation,non_cde_background,2,43,49568,12393,0.13596385056080046,0.9171271957347915,0.9713309830194347,0.935006149290291,1.3677652500458257,0.25040851686515986,Translation,
cde_module,Translation,non_cde_background,3,44,49568,12393,0.13596385056080046,0.915306853079747,0.9726694260039085,0.9153924368046384,1.383167242404105,0.26661723241793633,Translation,
cde_module,Translation,other_cde_modules_only,1,42,49568,12393,0.13596385056080046,0.8188555393021615,0.9315874096185885,0.9106360976121606,1.6315565359243427,0.35564446830922014,Translation,
cde_module,Translation,other_cde_modules_only,2,43,49568,12393,0.13596385056080046,0.8152774297170484,0.9260415962329948,0.897478438604491,1.7178412905195113,0.35214160321210564,Translation,
cde_module,Translation,other_cde_modules_only,3,44,49568,12393,0.13596385056080046,0.8044527869267077,0.9276796848414176,0.8486070070895182,1.8502183711308142,0.38383951062718075,Translation,
