role	package_path	canonical_source_path	bytes	status
raw_CDS_codon_counts	inputs_large\3_CDS_64_Codon_Counts.csv	D:\LAB\PTG_code\Fig3_CCI_latest_20260831\inputs_large\3_CDS_64_Codon_Counts.csv	4050431902	external_not_copied_github_size_limit
current_CDS_level_CCI_table	tables\01_gene_level_pooled_CCI_all_proteins_triad_genomes.csv	D:\LAB\PTG_code\Fig3_CCI_latest_20260831\tables\01_gene_level_pooled_CCI_all_proteins_triad_genomes.csv	1965536229	external_not_copied_github_size_limit
