task,Code,Product,run_n,normalized_gain_mean_pct,normalized_gain_SD_pct
classification,AKLH,restriction endonuclease,3,0.15468152684232395,0.04708893953623689
classification,GHJ,DUF536 domain-containing protein,3,0.15251503822315637,0.021914018235913758
classification,KEL,IS1 family transposase,3,0.14976620448778982,0.051607170232520615
classification,SLS,TrbM/KikA/MpfK family conjugal transfer protein,3,0.14742345938185522,0.0420552633703654
classification,ACIR,glycosyltransferase,3,0.1458844436088521,0.03848198915844035
classification,OBR,MobC family plasmid mobilization relaxosome protein,3,0.145510734966817,0.049353283639000066
classification,LWL,IS6 family transposase,3,0.1452894957767776,0.0029670487706693447
classification,ASO,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,3,0.1422882045526849,0.11489483942826885
classification,AAWQ,fimbrial protein,3,0.1400156880560023,0.032107611121841594
classification,AHEB,phage holin family protein,3,0.13947174368825224,0.018320787986163132
classification,AIBM,plasmid maintenance protein,3,0.13688193479602181,0.014764350945798074
classification,PMW,PH domain-containing protein,3,0.13203573219434073,0.03652733268877112
classification,AKBA,quinolone resistance pentapeptide repeat protein QnrS2,3,0.13076202370245518,0.006393992229729448
classification,AKHZ,replication protein,3,0.13037525428867477,0.02153859115224746
classification,BIZ,CDF family zinc transporter ZitB,3,0.12995987361793465,0.03382613355244965
classification,AEMM,major capsid protein,3,0.1294248544769633,0.027270820529034533
classification,PUW,ParB family protein,3,0.12915068657944082,0.06298388276737173
classification,OBX,MobF family relaxase,3,0.12855825236563836,0.04266125604452231
classification,AJZE,quaternary ammonium compound efflux SMR transporter QacE delta 1,3,0.128499832459167,0.047866699487675766
classification,CFL,D-xylose ABC transporter substrate-binding protein,3,0.12810695028386418,0.029785166902991624
classification,AKGE,relaxase/mobilization nuclease domain-containing protein,3,0.12802181360288897,0.03300774401721711
classification,GCF,DUF4942 domain-containing protein,3,0.12752798922407438,0.04090003843915166
classification,ADMP,integrase core domain-containing protein,3,0.1267905745980686,0.10396134052488858
classification,PVA,ParB/Srx family N-terminal domain-containing protein,3,0.12600738675653478,0.06357467724395632
classification,ANHH,thymidylate synthase,3,0.12471976518734985,0.022286040667130705
classification,XI,5'-3' exonuclease H3TH domain-containing protein,3,0.12402872840213525,0.04670051808224356
classification,EGN,DUF2829 domain-containing protein,3,0.12379873859971352,0.09535471824049488
classification,ALGQ,sigma-70 family RNA polymerase sigma factor,3,0.12190988322769537,0.042205943399047596
