model,run_n,validation_AUPRC_mean,validation_AUPRC_SD,AUPRC_mean,AUPRC_SD,AUROC_mean,AUROC_SD,F1_mean,F1_SD
ComplementNB,3,0.500008584403121,0.03429051485533366,0.5060685323350539,0.022179228912711842,0.7767660177151878,0.007954215923331266,0.5971729606030122,0.019354412115064532
LightGBM,3,0.8982494548913329,0.018010217289538742,0.9004001464901004,0.01505013572104822,0.9791452736214147,0.0018350515293455462,0.8429084406071162,0.016786656845825334
LinearSVC,3,0.8676662633287172,0.012051812334890711,0.8654431193071169,0.013744447801587718,0.9657448971038183,0.0051327208341277785,0.805573101307265,0.002806969771523446
LogisticRegression,3,0.8683966491592928,0.01672524998655726,0.8652883062659376,0.014307407641132973,0.9691831698730039,0.002010788638166126,0.8110709255895068,0.009087751125000662
RandomForest,3,0.8992291621060948,0.022524298510466945,0.9064277172602022,0.021107272506426338,0.9852080277184011,0.0036271937053209266,0.8386514714846016,0.020329074192869286
SGDClassifier,3,0.8651000381081261,0.01667022027810452,0.8643054775273104,0.007552852092826057,0.9708802583232043,0.0030422948392627865,0.8053649246885067,0.006184870520647706
XGBoost,3,0.8890945699711521,0.018092694825663263,0.8967429116018386,0.012296630736277488,0.978984659876776,0.0017324427201070253,0.8349126782449977,0.015763481738844006
