task,run,seed,feature_setting,AUPRC,AUROC,F1,R2,RMSE,Spearman_rho
classification,1,42,without_ADFU_hypothetical_protein,0.8988005731120052,0.9768978687287815,0.8408668730650155,,,
regression,1,42,without_ADFU_hypothetical_protein,,,,0.8387611497028944,3.5317018141813206,0.7437475822583781
classification,2,43,without_ADFU_hypothetical_protein,0.90922277201076,0.9770108763988431,0.8582625734813847,,,
regression,2,43,without_ADFU_hypothetical_protein,,,,0.8223912437839427,4.053365346916631,0.7761394569980035
classification,3,44,without_ADFU_hypothetical_protein,0.8877711935839973,0.9745680875141456,0.8367729831144465,,,
regression,3,44,without_ADFU_hypothetical_protein,,,,0.7744257284871084,4.100774144988988,0.7570322487418574
