phylum,plasmid_n,genome_n,all_CDS_n,nonhypothetical_CDS_n,median_plasmid_CCI_big_gene,q25_plasmid_CCI_big_gene,q75_plasmid_CCI_big_gene,frac_plasmid_CCI_big_gene_gt1
Fusobacteriota,15,9,7086,5982,1.4693509841391907,1.2719859604475627,1.5042056902264282,0.9333333333333332
Deinococcota,13,8,5245,3652,1.1443271106911206,0.5670916098428699,1.2437283795067562,0.6923076923076923
Actinomycetota,129,104,53527,34495,1.1251835011274345,0.5247921157991993,1.5349569980616866,0.6201550387596899
Bacillota,350,247,51264,34013,1.0973433774714343,0.6726073018145601,1.2075733710326797,0.5942857142857143
Cyanobacteriota,20,20,3491,1792,1.0266890292661344,1.011519090161323,1.0530087491642377,0.75
Pseudomonadota,2161,1877,579351,437767,1.0252178269418128,0.9420674971554812,1.1950757575757576,0.5826006478482184
Methanobacteriota,63,42,22762,16171,1.0121821464719365,0.6713550766516629,1.1599581286583405,0.5238095238095238
Bacteroidota,17,12,2123,1571,0.9682907934272388,0.8835009045438061,1.07943600222993,0.4117647058823529
