Gene_group,n,mean,std,q1,median,q3,whisker_low,whisker_high,min,max
Chromosome genes,10243879,0.9122299926318692,0.6403602510039894,0.5,0.8666666666666667,1.2289915966386555,0.0,2.3224702496694407,0.0,6.0
tRNA+ plasmid genes,734716,1.194014062061609,0.7315436188505741,0.8095342797969609,1.1428571428571428,1.5139344262295082,0.0,2.5703703703703704,0.0,6.0
tRNA- plasmid genes,645653,1.033806951360768,0.6158436080896548,0.6666666666666666,1.0123076923076924,1.3571428571428572,0.0,2.3928571428571432,0.0,6.0
