GCF_ID,organism_name,taxid,species_taxid,assembly_level,refseq_category,kingdom,phylum,class,order,family,genus,species
GCF_034072545.1,Acinetobacter pittii,48296,48296.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter pittii
GCF_904831875.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_028335725.1,Enterococcus faecalis,1351,1351.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
GCF_049077615.1,Listeria monocytogenes,1639,1639.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
GCF_020023425.1,Escherichia fergusonii,564,564.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii
GCF_050320045.1,Actinobacillus pleuropneumoniae,715,715.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae
GCF_016864495.1,Salmonella enterica subsp. enterica serovar Typhimurium,90371,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_045276955.1,Streptomyces albidoflavus,1886,1886.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus
GCF_025169515.2,Neisseria gonorrhoeae,485,485.0,Complete Genome,na,,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae
GCF_041435395.1,Streptomyces sp. NBC_01259,2903800,2903800.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. NBC_01259
GCF_016864255.1,Enterococcus faecium,1352,1352.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium
GCF_001563265.1,Sphingobium sp. TKS,1315974,1315974.0,Complete Genome,na,,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingobiaceae,Sphingobium,Sphingobium sp. TKS
GCF_037949795.1,Thioclava sp. GXIMD2076,3131931,3131931.0,Complete Genome,na,,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Thioclava,Thioclava sp. GXIMD2076
GCF_050320205.1,Pediococcus parvulus,54062,54062.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus parvulus
GCF_036345115.1,Streptomyces griseorubiginosus,67304,67304.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces griseorubiginosus
GCF_000521505.1,Advenella mimigardefordensis DPN7,1247726,302406.0,Complete Genome,reference genome,,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella mimigardefordensis
GCF_040370075.1,Thermus thermophilus,274,274.0,Complete Genome,na,,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus
GCF_000830055.1,Acinetobacter baumannii,470,470.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
GCF_040822505.1,Salmonella enterica subsp. enterica,59201,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_900639365.1,Enterococcus faecium,1352,1352.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium
GCF_022557215.1,Salmonella enterica subsp. enterica,59201,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_046741735.1,Staphylococcus aureus,1280,1280.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
GCF_033128245.1,Clostridium tetani,1513,1513.0,Complete Genome,na,,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium tetani
GCF_965282925.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_047783085.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_045347965.1,Morganella morganii,582,582.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,Morganella morganii
GCF_045209725.1,Streptomyces anthocyanicus,68174,68174.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces anthocyanicus
GCF_028335565.1,Enterococcus faecium,1352,1352.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium
GCF_030020615.1,Enterococcus faecalis,1351,1351.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
GCF_003017455.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_017352135.1,Rhizobium lentis,1138194,1138194.0,Complete Genome,reference genome,,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium lentis
GCF_034644455.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000025165.1,Escherichia coli O55:H7 str. CB9615,701177,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_022117655.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_030582195.1,Xanthomonas citri pv. glycines,473421,346.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas citri
GCF_003017615.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000025325.1,Haloterrigena turkmenica DSM 5511,543526,62320.0,Complete Genome,reference genome,,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena turkmenica
GCF_019378875.1,Rhodococcus sp. USK10,2789739,2789739.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. USK10
GCF_041346915.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_002205715.1,Bacillus velezensis,492670,492670.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus velezensis
GCF_041315875.1,Edwardsiella tarda,636,636.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella tarda
GCF_047782975.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_030007975.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_036227205.1,Amycolatopsis sp. NBC_01480,2903562,2903562.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sp. NBC_01480
GCF_003790485.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_022648425.1,Enterococcus faecalis,1351,1351.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
GCF_002156745.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_042466545.1,Borrelia recurrentis,44449,44449.0,Complete Genome,na,,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia recurrentis
GCF_001971585.1,Companilactobacillus allii,1847728,1847728.0,Complete Genome,reference genome,,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus allii
GCF_023848645.1,Salmonella enterica subsp. enterica serovar Typhimurium,90371,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_028609845.1,Corynebacterium heidelbergense,2055947,2055947.0,Complete Genome,reference genome,,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium heidelbergense
GCF_000017405.1,Brucella anthropi ATCC 49188,439375,529.0,Complete Genome,na,,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella anthropi
GCF_000017085.1,Staphylococcus aureus subsp. aureus USA300_TCH1516,451516,1280.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
GCF_025908455.1,Shigella sonnei,624,624.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei
GCF_022916135.1,Acinetobacter baumannii,470,470.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
GCF_046529815.1,Staphylococcus aureus,1280,1280.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
GCF_003294855.2,Aeromonas caviae,648,648.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas caviae
GCF_043049525.1,Acinetobacter baumannii,470,470.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
GCF_025908295.1,Campylobacter coli,195,195.0,Complete Genome,na,,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli
GCF_009708295.1,Piscirickettsia salmonis,1238,1238.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis
GCF_050164075.1,Acinetobacter baumannii,470,470.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
GCF_001433415.1,Vibrio parahaemolyticus,670,670.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
GCF_002949815.1,Shigella dysenteriae,622,622.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae
GCF_000272775.4,Salmonella enterica subsp. enterica serovar Newport str. CVM 22425,796730,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_023703955.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_042144055.1,Acinetobacter baumannii,470,470.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
GCF_044336575.1,Campylobacter jejuni,197,197.0,Complete Genome,na,,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni
GCF_022353665.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_022537925.1,Priestia megaterium,1404,1404.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,Priestia megaterium
GCF_046895815.1,Yersinia pestis,632,632.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis
GCF_008931325.1,Enterobacter hormaechei,158836,158836.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei
GCF_048164835.1,Ralstonia pseudosolanacearum,1310165,1310165.0,Complete Genome,na,,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pseudosolanacearum
GCF_024266705.1,Natrinema gelatinilyticum,2961571,2961571.0,Complete Genome,reference genome,,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema gelatinilyticum
GCF_964199155.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_001956985.1,Paludisphaera borealis,1387353,1387353.0,Complete Genome,reference genome,,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Paludisphaera,Paludisphaera borealis
GCF_016919525.1,Acinetobacter baumannii,470,470.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
GCF_014217995.1,Campylobacter vulpis,1655500,1655500.0,Complete Genome,reference genome,,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter vulpis
GCF_024266385.1,Salmonella enterica subsp. enterica serovar Agona,58095,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_002354895.1,Thauera sinica,2665146,2665146.0,Complete Genome,na,,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera sinica
GCF_032824215.1,Acinetobacter chinensis,2004650,2004650.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter chinensis
GCF_010183685.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_024266545.1,Salmonella enterica subsp. enterica serovar Blockley,57741,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_050215505.1,Halomonas casei,2742613,2742613.0,Complete Genome,reference genome,,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas casei
GCF_041734835.1,Ralstonia syzygii subsp. celebesensis,1310168,28097.0,Complete Genome,na,,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia syzygii
GCF_036233615.1,Pseudomonas aeruginosa,287,287.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
GCF_033223225.1,Pseudomonas aeruginosa,287,287.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
GCF_003076335.1,Clavibacter michiganensis subsp. insidiosus,33014,28447.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Clavibacter,Clavibacter michiganensis
GCF_000635895.2,Bacillus cereus,1396,1396.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
GCF_025642395.1,Neisseria gonorrhoeae,485,485.0,Complete Genome,na,,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae
GCF_006517015.1,Salmonella enterica subsp. enterica serovar Enteritidis,149539,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_025884215.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_029201505.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_903993205.2,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_045789585.1,Staphylococcus aureus,1280,1280.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
GCF_016772575.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_037888885.1,Salmonella enterica subsp. enterica serovar Typhimurium,90371,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_037889335.1,Fusobacterium nucleatum,851,851.0,Complete Genome,na,,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum
GCF_002139855.1,Campylobacter porcelli,1660073,1660073.0,Complete Genome,reference genome,,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter porcelli
GCF_014070455.1,Gordonia rubripertincta,36822,36822.0,Complete Genome,reference genome,,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia rubripertincta
GCF_020861345.1,Bacillus pacificus,2026187,2026187.0,Complete Genome,reference genome,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pacificus
GCF_023657935.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_019710415.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_003855175.1,Neisseria gonorrhoeae,485,485.0,Complete Genome,na,,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae
GCF_029910235.1,Pseudanabaena galeata CCNP1313,2602720,1112103.0,Complete Genome,reference genome,,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena galeata
GCF_004087995.1,Lactiplantibacillus plantarum,1590,1590.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum
GCF_043950445.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_036866345.1,Erwinia aphidicola,68334,68334.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia aphidicola
GCF_044793655.1,Staphylococcus pseudoxylosus,2282419,2282419.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pseudoxylosus
GCF_030578615.1,Escherichia albertii,208962,208962.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii
GCF_025560225.1,Agrobacterium tumefaciens,358,358.0,Complete Genome,na,,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens
GCF_044792965.1,Enterobacter hormaechei,158836,158836.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei
GCF_024347415.1,Vibrio crassostreae,246167,246167.0,Complete Genome,reference genome,,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio crassostreae
GCF_047117625.1,Enterobacter roggenkampii,1812935,1812935.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter roggenkampii
GCF_041005825.1,Enterobacter hormaechei,158836,158836.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei
GCF_024637995.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_019915545.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_013371705.1,Citrobacter freundii,546,546.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii
GCF_028831855.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_000284635.1,Helicobacter cinaedi PAGU611,1172562,213.0,Complete Genome,reference genome,,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter cinaedi
GCF_012053905.1,Salmonella enterica subsp. enterica serovar Indiana,286783,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_003018235.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_003399575.2,Vibrio anguillarum,55601,55601.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio anguillarum
GCF_036866105.1,Erwinia aphidicola,68334,68334.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia aphidicola
GCF_017298895.1,Serratia marcescens subsp. marcescens ATCC 13880,911022,615.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
GCF_003018075.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_022559825.1,Salmonella enterica subsp. enterica serovar Muenchen,596,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_010365585.1,Citrobacter freundii,546,546.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii
GCF_002009195.1,Priestia megaterium,1404,1404.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,Priestia megaterium
GCF_924899195.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_049904065.1,Bacillus cereus,1396,1396.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
GCF_045037685.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_002215195.1,Sinorhizobium meliloti,382,382.0,Complete Genome,na,,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti
GCF_041004475.1,Enterobacter hormaechei,158836,158836.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei
GCF_010365345.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_041213405.1,Klebsiella pneumoniae subsp. pneumoniae,72407,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_049602385.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_007923665.2,Enterococcus faecium,1352,1352.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium
GCF_003956185.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_015169775.1,Novosphingobium sp. ES2-1,2780074,2780074.0,Complete Genome,na,,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. ES2-1
GCF_003697265.1,Sphingobium yanoikuyae,13690,13690.0,Complete Genome,na,,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingobiaceae,Sphingobium,Sphingobium yanoikuyae
GCF_025987665.1,Xanthomonas citri pv. fuscans,366649,346.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas citri
GCF_048572755.1,Clostridium perfringens,1502,1502.0,Complete Genome,na,,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium perfringens
GCF_003073975.1,Klebsiella oxytoca,571,571.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca
GCF_000007605.1,Chlamydia caviae GPIC,227941,83557.0,Complete Genome,reference genome,,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia caviae
GCF_027944875.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_905329835.2,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
