GCF_ID,organism_name,taxid,species_taxid,assembly_level,refseq_category,kingdom,phylum,class,order,family,genus,species
GCF_037834495.1,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_023278615.1,Bacillus methanolicus,1471,1471.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus methanolicus
GCF_045182765.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_020424045.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_020221735.2,Enterococcus faecium,1352,1352.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium
GCF_002355515.1,Methylorubrum populi,223967,223967.0,Complete Genome,na,,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum populi
GCF_024298665.1,Xanthomonas campestris pv. campestris,340,339.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas campestris
GCF_036324685.1,Serratia marcescens,615,615.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
GCF_030012545.1,Shewanella xiamenensis,332186,332186.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella xiamenensis
GCF_018742185.1,Bacillus mycoides,1405,1405.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus mycoides
GCF_015500055.1,Mesorhizobium sp. NBSH29,2654249,2654249.0,Complete Genome,na,,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium sp. NBSH29
GCF_003194005.1,Staphylococcus aureus,1280,1280.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
GCF_003410275.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_039909815.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_030264015.1,Paenarthrobacter sp. R1,3049085,3049085.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter,Paenarthrobacter sp. R1
GCF_039720415.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_016653695.1,Aeromonas media,651,651.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas media
GCF_019669345.1,Staphylococcus aureus,1280,1280.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
