analysis,target,condition,run,seed,train_n,test_n,positive_rate_test,AUPRC,AUROC,R2,RMSE,MAE,module,subcategory
cog_lkj,L,all_non_target_features,1,42,49568,12393,0.9503752118131203,0.9975089696166006,0.9628448795950006,0.9142724745444247,12.878190311959523,4.626936009354056,Replication,
cog_lkj,L,all_non_target_features,2,43,49568,12393,0.9503752118131203,0.99766983566888,0.9659926112760873,0.9475587758343508,10.117985184919622,4.514990468880386,Replication,
cog_lkj,L,all_non_target_features,3,44,49568,12393,0.9503752118131203,0.9976251448036116,0.965038303465052,0.9280144826622336,11.350656696562792,4.479658688088511,Replication,
cog_lkj,L,non_cde_background,1,42,49568,12393,0.9503752118131203,0.997349331361618,0.9610411860613766,0.9132867232212631,12.9520196241301,4.659988935344374,Replication,
cog_lkj,L,non_cde_background,2,43,49568,12393,0.9503752118131203,0.9974960877121748,0.9642901123356621,0.9444702992910361,10.411667611527347,4.523247373570835,Replication,
cog_lkj,L,non_cde_background,3,44,49568,12393,0.9503752118131203,0.9974398695708434,0.9631275479845987,0.9327203243400058,10.973378718525884,4.514676018063316,Replication,
cog_lkj,L,other_cde_modules_only,1,42,49568,12393,0.9503752118131203,0.9765597140519877,0.7588791697901697,0.7947763241007766,19.92546319371767,11.696307123576148,Replication,
cog_lkj,L,other_cde_modules_only,2,43,49568,12393,0.9503752118131203,0.9771552387674113,0.7642786537391608,0.825708158605639,18.445743182764797,11.566873623065781,Replication,
cog_lkj,L,other_cde_modules_only,3,44,49568,12393,0.9503752118131203,0.9772353362148263,0.7651780155091414,0.8004477770932765,18.89847273537982,11.56001731746647,Replication,
cog_lkj,K,all_non_target_features,1,42,49568,12393,0.8992173000887598,0.997132841197643,0.9767073888831093,0.9736697958824795,7.635230593399913,2.779571462533501,Transcription,
cog_lkj,K,all_non_target_features,2,43,49568,12393,0.8992173000887598,0.9972014391361955,0.9771480500983701,0.9734856560208014,7.529893208706511,2.7456128123644947,Transcription,
cog_lkj,K,all_non_target_features,3,44,49568,12393,0.8992173000887598,0.9973966781447746,0.9786794977978074,0.9737137381270663,7.078586095200962,2.6489762775414984,Transcription,
cog_lkj,K,non_cde_background,1,42,49568,12393,0.8992173000887598,0.9960240384174875,0.969749489469537,0.9755569522182441,7.356525136609366,2.78545967152745,Transcription,
cog_lkj,K,non_cde_background,2,43,49568,12393,0.8992173000887598,0.9960884085778382,0.9700663617757093,0.9722284552228423,7.7063440240647845,2.782144572382105,Transcription,
cog_lkj,K,non_cde_background,3,44,49568,12393,0.8992173000887598,0.9964619572778901,0.9729685399432252,0.9747364774389918,6.939513999206687,2.679847419696227,Transcription,
cog_lkj,K,other_cde_modules_only,1,42,49568,12393,0.8992173000887598,0.9797483247275895,0.8866204593251056,0.7711834946185533,22.508093944468204,9.231387529027101,Transcription,
cog_lkj,K,other_cde_modules_only,2,43,49568,12393,0.8992173000887598,0.9794423771766734,0.884394414311061,0.7918492002571167,21.09781188766004,9.017130934977024,Transcription,
cog_lkj,K,other_cde_modules_only,3,44,49568,12393,0.8992173000887598,0.9793397180861639,0.8853054446428643,0.7608307832232034,21.351812360681595,8.81841668228829,Transcription,
cog_lkj,J,all_non_target_features,1,42,49568,12393,0.7729363350278383,0.9931890915491044,0.9770392701162435,0.9667797477239817,3.2721383269083195,1.434728145417383,Translation,
cog_lkj,J,all_non_target_features,2,43,49568,12393,0.7729363350278383,0.9940348667315403,0.979860607035958,0.963416923730164,3.5256489031219918,1.432050204873308,Translation,
cog_lkj,J,all_non_target_features,3,44,49568,12393,0.7729363350278383,0.9941920997808205,0.9803374333795358,0.9484539015328315,4.2512466718134885,1.4324223607757998,Translation,
cog_lkj,J,non_cde_background,1,42,49568,12393,0.7729363350278383,0.9915595596694478,0.9720660377589481,0.9647503825845647,3.370601390295138,1.4559896573677018,Translation,
cog_lkj,J,non_cde_background,2,43,49568,12393,0.7729363350278383,0.9928018479680001,0.9762564001313878,0.965439066247453,3.426823086116597,1.4387380521116662,Translation,
cog_lkj,J,non_cde_background,3,44,49568,12393,0.7729363350278383,0.9929125468257798,0.9763698100848864,0.9448758253569516,4.396321609680326,1.447066919641549,Translation,
cog_lkj,J,other_cde_modules_only,1,42,49568,12393,0.7729363350278383,0.9751256527226084,0.9240071880467615,0.9323119782755203,4.670744407232601,2.237981756919852,Translation,
cog_lkj,J,other_cde_modules_only,2,43,49568,12393,0.7729363350278383,0.9759191818386916,0.9263460782081274,0.9282144580808313,4.938754539753765,2.285371263915675,Translation,
cog_lkj,J,other_cde_modules_only,3,44,49568,12393,0.7729363350278383,0.9757374415136272,0.926246227737129,0.9125410748966903,5.537585861785114,2.292624181474521,Translation,
