task,run,seed,phylum,test_n,positive_n,AUPRC,AUROC,F1
classification,3,44,Actinomycetota,464,68,0.7469447663712951,0.8797162804515747,0.6371681415929203
classification,3,44,Bacillota,2421,148,0.8468068581988452,0.9650301423288664,0.8041958041958042
classification,3,44,Bacteroidota,120,4,0.390625,0.8577586206896551,0.5
classification,3,44,Cyanobacteriota,108,7,0.5013095238095238,0.7892503536067893,0.6153846153846154
classification,3,44,Deinococcota,53,5,0.5073717948717948,0.875,0.4444444444444444
classification,3,44,Methanobacteriota,121,16,0.6456316585670587,0.8303571428571428,0.6111111111111112
classification,3,44,Mycoplasmatota,29,3,0.42337164750957856,0.5384615384615384,0.5
classification,3,44,Planctomycetota,4,1,1.0,1.0,0.0
classification,3,44,Pseudomonadota,8465,568,0.9282257310652354,0.9845724976680394,0.8829311885612153
classification,3,44,Spirochaetota,366,1,1.0,1.0,0.0
classification,3,44,Unclassified,68,4,1.0,1.0,1.0
