plasmid_n,tRNA_positive_n,probability,bin_left,bin_right,bin_midpoint,probability_se
215,2,0.009302325581395349,3.0,3.1379310344827585,3.068965517241379,0.006547071889508038
781,2,0.002560819462227913,3.1379310344827585,3.2758620689655173,3.206896551724138,0.0018084527897742418
1809,0,0.0,3.2758620689655173,3.413793103448276,3.344827586206897,0.0
2249,2,0.0008892841262783459,3.413793103448276,3.5517241379310347,3.4827586206896552,0.0006285391745998908
3540,18,0.005084745762711864,3.5517241379310347,3.689655172413793,3.6206896551724137,0.0011954351881432025
3565,44,0.012342215988779803,3.689655172413793,3.8275862068965516,3.7586206896551726,0.0018491410911852313
2328,23,0.009879725085910653,3.8275862068965516,3.9655172413793105,3.896551724137931,0.0020498633889333446
2545,31,0.01218074656188605,3.9655172413793105,4.103448275862069,4.03448275862069,0.0021743617698355214
1693,24,0.014176018901358535,4.103448275862069,4.241379310344827,4.172413793103448,0.002873084188149632
1752,44,0.02511415525114155,4.241379310344827,4.379310344827586,4.310344827586206,0.00373825668545192
3266,38,0.011635027556644213,4.379310344827586,4.517241379310345,4.448275862068966,0.001876438308546507
4243,128,0.03016733443318407,4.517241379310345,4.655172413793103,4.586206896551724,0.0026259131433705417
5225,198,0.037894736842105266,4.655172413793103,4.793103448275862,4.724137931034482,0.0026415424579735794
5668,226,0.03987297106563162,4.793103448275862,4.931034482758621,4.862068965517242,0.002598894954219632
7225,1341,0.18560553633217994,4.931034482758621,5.068965517241379,5.0,0.004573976656248521
4914,393,0.07997557997557997,5.068965517241379,5.206896551724138,5.137931034482758,0.0038695530094716925
4327,290,0.06702103073723134,5.206896551724138,5.344827586206897,5.275862068965518,0.003801439042961747
3027,262,0.08655434423521638,5.344827586206897,5.482758620689655,5.413793103448276,0.005110690510323617
1511,210,0.13898080741230973,5.482758620689655,5.620689655172414,5.551724137931034,0.00889921294950682
809,220,0.2719406674907293,5.620689655172414,5.758620689655173,5.689655172413794,0.01564394229726101
472,146,0.3093220338983051,5.758620689655173,5.896551724137931,5.827586206896552,0.021275130366831593
234,103,0.44017094017094016,5.896551724137931,6.0344827586206895,5.96551724137931,0.03245117855707963
155,86,0.5548387096774193,6.0344827586206895,6.172413793103448,6.103448275862069,0.03991868476087565
221,202,0.9140271493212669,6.172413793103448,6.310344827586206,6.241379310344827,0.01885662978876453
75,62,0.8266666666666667,6.310344827586206,6.448275862068965,6.379310344827585,0.04370947858895732
13,13,1.0,6.448275862068965,6.586206896551724,6.517241379310345,0.0
11,11,1.0,6.586206896551724,6.724137931034482,6.655172413793103,0.0
1,1,1.0,6.724137931034482,6.862068965517241,6.793103448275861,0.0
0,0,,6.862068965517241,7.0,6.931034482758621,
