stratum,predicted_mobility,n_tRNA_positive,median_Total_tRNA,mean_Total_tRNA,kruskal_statistic,kruskal_p
all,conjugative,424,1.0,2.2806603773584904,278.3111940445655,3.676986939447494e-61
all,mobilizable,563,1.0,2.758436944937833,278.3111940445655,3.676986939447494e-61
all,non-mobilizable,3138,2.0,4.512746972594009,278.3111940445655,3.676986939447494e-61
