run,seed,subset,n,PlasFlow_assignment_missing_n,R2,RMSE,Spearman_rho
1,42,complete_RefSeq_test,825,0,0.8510485442383748,3.3944667433249447,0.7803880133826114
1,42,PlasFlow_supported_plasmid_like,511,0,0.8425549244334547,1.384058463263583,0.8323679244278538
1,42,Other_replicons_PlasFlow,314,0,0.8440532455146074,5.2111782651252385,0.742772992852172
2,43,complete_RefSeq_test,825,0,0.8223912437839427,4.053365346916631,0.7761394569980035
2,43,PlasFlow_supported_plasmid_like,526,0,0.757126225701957,2.2596576078889075,0.8038613970222165
2,43,Other_replicons_PlasFlow,299,0,0.8249257459011757,6.029131386321623,0.7507416706096467
3,44,complete_RefSeq_test,825,0,0.734839790709601,4.446059244800753,0.7847716819985614
3,44,PlasFlow_supported_plasmid_like,509,0,0.6358818752113403,2.129181385936401,0.8093376759917782
3,44,Other_replicons_PlasFlow,316,0,0.7286619838429067,6.656260237254281,0.7645335815228007
