subset,run_n,n_mean,R2_mean,R2_SD,RMSE_mean,RMSE_SD,Spearman_rho_mean,Spearman_rho_SD
Other_replicons_PlasFlow,3,309.6666666666667,0.7992136584195633,0.061843507335396924,5.965523296233715,0.7246378187664265,0.7526827483282065,0.011009388804797062
PlasFlow_supported_plasmid_like,3,515.3333333333334,0.745187675115584,0.10385246295234965,1.9242991523629638,0.4723886246965313,0.8151889991472828,0.015127260597500664
complete_RefSeq_test,3,825.0,0.8027598595773062,0.060540581708299256,3.964630445014109,0.5313822629724992,0.7804330507930587,0.004316288728910416
