feature_setting,task,run_n,AUPRC_mean,AUPRC_SD,AUROC_mean,AUROC_SD,F1_mean,F1_SD,R2_mean,R2_SD,RMSE_mean,RMSE_SD
raw_product_counts,classification,3,0.8985981795689209,0.010727221290231664,0.9761589442139235,0.001378880510702116,0.8453008098869489,0.011410322972658283,,,,
raw_product_counts,regression_tRNA_positive_only,3,,,,,,,0.8027598595773062,0.06054058170829924,3.96463044501411,0.5313822629724995
product_abundance_per_100kb,classification,3,0.8958635862279665,0.009252004879350025,0.9765231498945193,0.0006283976815090862,0.8425497753699136,0.009947966066856039,,,,
product_abundance_per_100kb,regression_tRNA_positive_only,3,,,,,,,0.7765403805189467,0.041148594457242414,4.242593919204937,0.3196682214908873
