experiment,split_strategy,task,run_n,test_n_mean,test_positive_n_mean,test_positive_prevalence_mean,AUPRC_mean,AUPRC_SD,AUROC_mean,AUROC_SD,F1_mean,F1_SD,R2_mean,R2_SD,RMSE_mean,RMSE_SD,Spearman_rho_mean,Spearman_rho_SD
directional_size_transfer,large_to_small,classification,3,21131.0,573.0,0.027116558610572144,0.6355288680572344,0.0020804311485328876,0.9101624733914478,0.001203503535617433,0.5917945551931184,0.00422346238079684,,,,,,
directional_size_transfer,large_to_small,regression_tRNA_positive_only,3,573.0,,,,,,,,,0.49668340087289303,0.03981755613496952,3.2895401617007463,0.12879614924554478,0.5701604847883115,0.01027612561028002
directional_size_transfer,small_to_large,classification,3,6624.0,1169.0,0.17647946859903382,0.5970383769274994,0.003001109845885639,0.7937615406871213,0.005633106329851957,0.37841175831754675,0.07686851958055634,,,,,,
directional_size_transfer,small_to_large,regression_tRNA_positive_only,3,1169.0,,,,,,,,,-0.20682501820222612,0.15049688158272406,10.903009865604346,0.679641419647866,0.3864459787700141,0.04359027111416364
internal_generalization,Assembly_ID_blocked,classification,3,12451.666666666666,839.3333333333334,0.06739558345001355,0.8997729545447003,0.000931619454788086,0.9753845345327327,0.0005232689916873409,0.8380755365620091,0.008226466701479697,,,,,,
internal_generalization,Assembly_ID_blocked,regression_tRNA_positive_only,3,839.3333333333334,,,,,,,,,0.8315715217970597,0.04263301139697063,3.341287211245034,0.1851699224250681,0.7545473320712408,0.022582019118557888
internal_generalization,genus_blocked,classification,3,12401.0,753.0,0.06823002989738838,0.6118346338279003,0.14461505432273425,0.898751794769841,0.044567336968508,0.5390874442194887,0.19686852565580854,,,,,,
internal_generalization,genus_blocked,regression_tRNA_positive_only,3,753.0,,,,,,,,,0.6755025689687472,0.10446912330854656,4.66112439412185,1.5023049583737933,0.42505525906379343,0.029291539462914764
internal_generalization,phylum_blocked,classification,3,16059.333333333334,1017.0,0.0462977764474774,0.3350908079528927,0.024335730140786726,0.7825542313833463,0.08050417447502327,0.2747413976464256,0.07064179313636873,,,,,,
internal_generalization,phylum_blocked,regression_tRNA_positive_only,3,1017.0,,,,,,,,,0.41598786920918673,0.10024181213303461,6.481289124629574,1.4286916210571836,0.2944909105006417,0.10467591012532287
internal_generalization,random_80_20,classification,3,12393.0,825.0,0.06656983781166788,0.8986248729052247,0.011247022951335428,0.9761065181552734,0.001539869995863997,0.8461149997017744,0.015275024554005609,,,,,,
internal_generalization,random_80_20,regression_tRNA_positive_only,3,825.0,,,,,,,,,0.857427713223899,0.03953532496561152,2.9959534504809695,0.33237792299651764,0.7630344893181871,0.023682175696958054
internal_generalization,species_blocked,classification,3,11814.666666666666,860.3333333333334,0.08096661002172405,0.8009370186522605,0.05318382913043159,0.9387094714692061,0.022821224977395964,0.7173043999119993,0.011476727833623001,,,,,,
internal_generalization,species_blocked,regression_tRNA_positive_only,3,860.3333333333334,,,,,,,,,0.6169926367341573,0.10856508864064102,6.055010260775273,1.9522577977101294,0.6553891617297429,0.05273776992949216
within_size,large_ge_100kb,classification,3,3857.0,575.0,0.14907959554057557,0.9404117886987472,0.005211289229516391,0.9794266486500809,0.0032244044837936837,0.8715720970229831,0.007987699341999142,,,,,,
within_size,large_ge_100kb,regression_tRNA_positive_only,3,575.0,,,,,,,,,0.8596679270956326,0.023770338968874982,3.6906952805423323,0.3197402908508277,0.7490891683723625,0.04191927744463355
within_size,small_lt_100kb,classification,3,8536.0,250.0,0.02928772258669166,0.8001846308611503,0.0017376135765817431,0.9461199613806421,0.0038813877799963705,0.7945586945602462,0.008875355381623767,,,,,,
within_size,small_lt_100kb,regression_tRNA_positive_only,3,250.0,,,,,,,,,0.5854602772381079,0.0542050387649542,2.8269053103046278,0.5400772166971107,0.6761971799654211,0.05749063745878915
